date,USREC,GDP,UNRATE,CPIAUCSL,INDPRO,T10Y2Y,BAA10Y,UMCSENT
1986-01-31,0.0,4507.894,6.7,109.9,55.6453,1.0514285714285716,2.2414285714285715,95.6
1986-02-28,0.0,4507.894,7.2,109.7,55.2634,0.7368421052631579,2.408421052631579,95.9
1986-03-31,0.0,4507.894,7.2,109.1,54.8728,0.564,2.7165,95.1
1986-04-30,0.0,4545.34,7.1,108.7,54.935,0.604090909090909,2.891363636363636,96.2
1986-05-31,0.0,4545.34,7.2,109.0,55.0399,0.6423809523809524,2.5761904761904764,94.8
1986-06-30,0.0,4545.34,7.2,109.4,54.826,0.6147619047619047,2.54,99.3
1986-07-31,0.0,4607.669,7.0,109.5,55.167,0.6368181818181818,2.8613636363636363,97.7
1986-08-31,0.0,4607.669,6.9,109.6,55.0726,0.8395238095238095,3.0161904761904763,94.9
1986-09-30,0.0,4607.669,7.0,110.0,55.2237,1.1014285714285714,2.7542857142857144,91.9
1986-10-31,0.0,4657.627,7.0,110.2,55.4589,1.1472727272727272,2.8095454545454546,95.6
1986-11-30,0.0,4657.627,6.9,110.4,55.6763,0.9738888888888889,2.812222222222222,91.4
1986-12-31,0.0,4657.627,6.6,110.8,56.2078,0.8409090909090909,2.8595454545454544,89.1
1987-01-31,0.0,4722.156,6.6,111.4,55.9911,0.8584999999999999,2.6425,90.4
1987-02-28,0.0,4722.156,6.6,111.8,56.7373,0.8526315789473684,2.4026315789473682,90.2
1987-03-31,0.0,4722.156,6.6,112.2,56.8136,0.8240909090909091,2.3613636363636363,90.8
1987-04-30,0.0,4806.16,6.3,112.7,57.185,0.9985714285714286,2.0204761904761903,92.8
1987-05-31,0.0,4806.16,6.3,113.0,57.5424,0.8515,1.9,91.1
1987-06-30,0.0,4806.16,6.2,113.5,57.8502,0.8290909090909092,2.12,91.5
1987-07-31,0.0,4884.555,6.1,113.8,58.2421,1.0045454545454546,2.1595454545454547,93.7
1987-08-31,0.0,4884.555,6.0,114.3,58.6784,1.0076190476190476,2.0423809523809524,94.4
1987-09-30,0.0,4884.555,5.9,114.7,58.9088,1.0780952380952382,1.8847619047619046,93.6
1987-10-31,0.0,5007.994,6.0,115.0,59.7008,1.1223809523809525,2.092857142857143,89.3
1987-11-30,0.0,5007.994,5.8,115.4,59.9956,1.167894736842105,2.3678947368421053,83.1
1987-12-31,0.0,5007.994,5.7,115.6,60.3246,1.13,2.299090909090909,86.8
1988-01-31,0.0,5073.372,5.7,116.0,60.309,1.0357894736842106,2.403684210526316,90.8
1988-02-29,0.0,5073.372,5.7,116.2,60.6122,1.0314999999999999,2.407,91.6
1988-03-31,0.0,5073.372,5.7,116.5,60.7452,1.1030434782608696,2.1995652173913043,94.6
1988-04-30,0.0,5190.036,5.4,117.2,61.108,1.129,2.1774999999999998,91.2
1988-05-31,0.0,5190.036,5.6,117.5,60.9843,1.0933333333333333,1.9547619047619047,94.8
1988-06-30,0.0,5190.036,5.4,118.0,61.1615,0.8954545454545454,2.0822727272727275,94.7
1988-07-31,0.0,5282.835,5.4,118.5,61.171,0.777,2.058,93.4
1988-08-31,0.0,5282.835,5.6,119.0,61.4771,0.6317391304347827,1.9539130434782608,97.4
1988-09-30,0.0,5282.835,5.4,119.5,61.2785,0.5138095238095238,1.9195238095238096,97.3
1988-10-31,0.0,5399.509,5.4,119.9,61.5488,0.4415,1.614,94.1
1988-11-30,0.0,5399.509,5.3,120.3,61.7049,0.2965,1.5185,93.0
1988-12-31,0.0,5399.509,5.3,120.7,61.9851,0.017142857142857144,1.5395238095238095,91.9
1989-01-31,0.0,5511.253,5.4,121.2,62.1677,-0.08399999999999999,1.564,97.9
1989-02-28,0.0,5511.253,5.2,121.6,61.8916,-0.2026315789473684,1.44,95.4
1989-03-31,0.0,5511.253,5.0,122.2,62.0508,-0.32181818181818184,1.31,94.3
1989-04-30,0.0,5612.463,5.2,123.1,62.0289,-0.27599999999999997,1.4385,91.5
1989-05-31,0.0,5612.463,5.2,123.7,61.6871,-0.15863636363636366,1.6036363636363637,90.7
1989-06-30,0.0,5612.463,5.3,124.1,61.6857,-0.1290909090909091,1.755909090909091,90.6
1989-07-31,0.0,5695.365,5.2,124.5,61.0896,0.199,1.8555,92.0
1989-08-31,0.0,5695.365,5.2,124.5,61.6847,-0.03217391304347826,1.7634782608695654,89.6
1989-09-30,0.0,5695.365,5.3,124.8,61.4794,-0.094,1.721,95.8
1989-10-31,0.0,5747.237,5.3,125.4,61.4014,0.02857142857142857,1.7995238095238095,93.9
